0,1,2,3,4
PG-13,"{'name': 'J.J. Abrams', 'url': '/person/15344-j-j-abrams'}","[{'name': 'Carrie Fisher', 'url': '/person/4-carrie-fisher'}, {'name': 'Mark Hamill', 'url': '/person/2-mark-hamill'}, {'name': 'Daisy Ridley', 'url': '/person/1315036-daisy-ridley'}, {'name': 'Adam Driver', 'url': '/person/1023139-adam-driver'}, {'name': 'John Boyega', 'url': '/person/236695-john-boyega'}, {'name': 'Oscar Isaac', 'url': '/person/25072-oscar-isaac'}, {'name': 'Anthony Daniels', 'url': '/person/6-anthony-daniels'}, {'name': 'Naomi Ackie', 'url': '/person/1537686-naomi-ackie'}]","$250,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}]"
PG-13,"{'name': 'Rian Johnson', 'url': '/person/67367-rian-johnson'}","[{'name': 'Daniel Craig', 'url': '/person/8784-daniel-craig'}, {'name': 'Chris Evans', 'url': '/person/16828-chris-evans'}, {'name': 'Ana de Armas', 'url': '/person/224513-ana-de-armas'}, {'name': 'Jamie Lee Curtis', 'url': '/person/8944-jamie-lee-curtis'}, {'name': 'Michael Shannon', 'url': '/person/335-michael-shannon'}, {'name': 'Don Johnson', 'url': '/person/25129-don-johnson'}, {'name': 'Toni Collette', 'url': '/person/3051-toni-collette'}, {'name': 'Lakeith Stanfield', 'url': '/person/1200864-lakeith-stanfield'}]","$40,000,000.00","[{'type': 'Mystery', 'url': '/genre/9648-mystery/movie'}, {'type': 'Thriller', 'url': '/genre/53-thriller/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'Crime', 'url': '/genre/80-crime/movie'}]"
PG,"{'name': 'Jennifer Lee', 'url': '/person/1120694-jennifer-lee'}","[{'name': 'Kristen Bell', 'url': '/person/40462-kristen-bell'}, {'name': 'Idina Menzel', 'url': '/person/19394-idina-menzel'}, {'name': 'Josh Gad', 'url': '/person/54415-josh-gad'}, {'name': 'Jonathan Groff', 'url': '/person/221611-jonathan-groff'}, {'name': 'Sterling K. Brown', 'url': '/person/1225953-sterling-k-brown'}, {'name': 'Evan Rachel Wood', 'url': '/person/38940-evan-rachel-wood'}, {'name': 'Alfred Molina', 'url': '/person/658-alfred-molina'}, {'name': 'Martha Plimpton', 'url': '/person/17495-martha-plimpton'}]","$150,000,000.00","[{'type': 'Animation', 'url': '/genre/16-animation/movie'}, {'type': 'Family', 'url': '/genre/10751-family/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}, {'type': 'Music', 'url': '/genre/10402-music/movie'}]"
PG-13,"{'name': 'James Mangold', 'url': '/person/366-james-mangold'}","[{'name': 'Christian Bale', 'url': '/person/3894-christian-bale'}, {'name': 'Matt Damon', 'url': '/person/1892-matt-damon'}, {'name': 'Caitriona Balfe', 'url': '/person/147056-caitriona-balfe'}, {'name': 'Josh Lucas', 'url': '/person/6164-josh-lucas'}, {'name': 'Noah Jupe', 'url': '/person/1590759-noah-jupe'}, {'name': 'Jon Bernthal', 'url': '/person/19498-jon-bernthal'}, {'name': 'Tracy Letts', 'url': '/person/72638-tracy-letts'}, {'name': 'Remo Girone', 'url': '/person/41527-remo-girone'}]","$97,600,000.00","[{'type': 'Drama', 'url': '/genre/18-drama/movie'}, {'type': 'History', 'url': '/genre/36-history/movie'}]"
PG-13,"{'name': 'Ryan Fleck', 'url': '/person/53068-ryan-fleck'}","[{'name': 'Brie Larson', 'url': '/person/60073-brie-larson'}, {'name': 'Samuel L. Jackson', 'url': '/person/2231-samuel-l-jackson'}, {'name': 'Ben Mendelsohn', 'url': '/person/77335-ben-mendelsohn'}, {'name': 'Jude Law', 'url': '/person/9642-jude-law'}, {'name': 'Annette Bening', 'url': '/person/516-annette-bening'}, {'name': 'Djimon Hounsou', 'url': '/person/938-djimon-hounsou'}, {'name': 'Lee Pace', 'url': '/person/72095-lee-pace'}, {'name': 'Lashana Lynch', 'url': '/person/1360281-lashana-lynch'}]","$152,000,000.00","[{'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}]"
PG,"{'name': 'Guy Ritchie', 'url': '/person/956-guy-ritchie'}","[{'name': 'Mena Massoud', 'url': '/person/1515478-mena-massoud'}, {'name': 'Naomi Scott', 'url': '/person/240724-naomi-scott'}, {'name': 'Will Smith', 'url': '/person/2888-will-smith'}, {'name': 'Marwan Kenzari', 'url': '/person/935235-marwan-kenzari'}, {'name': 'Navid Negahban', 'url': '/person/103330-navid-negahban'}, {'name': 'Nasim Pedrad', 'url': '/person/476163-nasim-pedrad'}, {'name': 'Billy Magnussen', 'url': '/person/141034-billy-magnussen'}, {'name': 'Numan Acar', 'url': '/person/35434-numan-acar'}]","$183,000,000.00","[{'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Fantasy', 'url': '/genre/14-fantasy/movie'}, {'type': 'Romance', 'url': '/genre/10749-romance/movie'}, {'type': 'Family', 'url': '/genre/10751-family/movie'}]"
PG-13,"{'name': 'Joe Russo', 'url': '/person/19272-joe-russo'}","[{'name': 'Robert Downey Jr.', 'url': '/person/3223-robert-downey-jr'}, {'name': 'Chris Evans', 'url': '/person/16828-chris-evans'}, {'name': 'Mark Ruffalo', 'url': '/person/103-mark-ruffalo'}, {'name': 'Chris Hemsworth', 'url': '/person/74568-chris-hemsworth'}, {'name': 'Scarlett Johansson', 'url': '/person/1245-scarlett-johansson'}, {'name': 'Jeremy Renner', 'url': '/person/17604-jeremy-renner'}, {'name': 'Don Cheadle', 'url': '/person/1896-don-cheadle'}, {'name': 'Paul Rudd', 'url': '/person/22226-paul-rudd'}]","$356,000,000.00","[{'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}]"
PG-13,"{'name': 'Bragi Schut', 'url': '/person/143550-bragi-schut'}","[{'name': 'Taylor Russell', 'url': '/person/1353827-taylor-russell'}, {'name': 'Logan Miller', 'url': '/person/116088-logan-miller'}, {'name': 'Deborah Ann Woll', 'url': '/person/212154-deborah-ann-woll'}, {'name': 'Tyler Labine', 'url': '/person/51383-tyler-labine'}, {'name': 'Nik Dodani', 'url': '/person/1466581-nik-dodani'}, {'name': 'Jay Ellis', 'url': '/person/151680-jay-ellis'}, {'name': 'Yorick van Wageningen', 'url': '/person/31387-yorick-van-wageningen'}, {'name': 'Cornelius Geaney Jr.', 'url': '/person/1573781-cornelius-geaney-jr'}]","$9,000,000.00","[{'type': 'Thriller', 'url': '/genre/53-thriller/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Mystery', 'url': '/genre/9648-mystery/movie'}, {'type': 'Horror', 'url': '/genre/27-horror/movie'}]"
PG-13,"{'name': 'Michael Dougherty', 'url': '/person/11012-michael-dougherty'}","[{'name': 'Kyle Chandler', 'url': '/person/3497-kyle-chandler'}, {'name': 'Vera Farmiga', 'url': '/person/21657-vera-farmiga'}, {'name': 'Millie Bobby Brown', 'url': '/person/1356210-millie-bobby-brown'}, {'name': 'Ken Watanabe', 'url': '/person/3899-ken-watanabe'}, {'name': 'Zhang Ziyi', 'url': '/person/1339-zhang-ziyi'}, {'name': 'Bradley Whitford', 'url': '/person/11367-bradley-whitford'}, {'name': 'Sally Hawkins', 'url': '/person/39658-sally-hawkins'}, {'name': 'Charles Dance', 'url': '/person/4391-charles-dance'}]","$170,000,000.00","[{'type': 'Science Fiction', 'url': '/genre/878-science-fiction/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}]"
PG,"{'name': 'Troy Quane', 'url': '/person/587699-troy-quane'}","[{'name': 'Will Smith', 'url': '/person/2888-will-smith'}, {'name': 'Tom Holland', 'url': '/person/1136406-tom-holland'}, {'name': 'Rachel Brosnahan', 'url': '/person/993774-rachel-brosnahan'}, {'name': 'Toru Uchikado', 'url': '/person/2185973-toru-uchikado'}, {'name': 'Reba McEntire', 'url': '/person/21986-reba-mcentire'}, {'name': 'Mark Ronson', 'url': '/person/77071-mark-ronson'}, {'name': 'Masi Oka', 'url': '/person/17273-masi-oka'}, {'name': 'Toshiya Agata', 'url': '/person/552266-toshiya-agata'}]","$100,000,000.00","[{'type': 'Animation', 'url': '/genre/16-animation/movie'}, {'type': 'Action', 'url': '/genre/28-action/movie'}, {'type': 'Adventure', 'url': '/genre/12-adventure/movie'}, {'type': 'Comedy', 'url': '/genre/35-comedy/movie'}]"
