ReleaseURL,Release,Gross,Theaters,TotalGross,ReleaseDate,DistributorURL,Distributor,datetime,Month
/release/rl1801881089/?ref_=bo_yld_table_200,Oldboy,"$2,190,524",583,"$2,193,658",Nov 27,https://pro.imdb.com/company/co0314851/boxoffice/?view=releases&ref_=mojo_yld_table_200&rf=mojo_yld_table_200,FilmDistrict,2013-11-27,11
/release/rl3326248449/?ref_=bo_yld_table_201,Austenland,"$2,157,308",274,"$2,159,041",Aug 16,https://pro.imdb.com/company/co0014453/boxoffice/?view=releases&ref_=mojo_yld_table_201&rf=mojo_yld_table_201,Sony Pictures Classics,2013-08-16,8
/release/rl1614906881/?ref_=bo_yld_table_202,The Oscar Nominated Short Films 2013: Live Action,"$2,142,342",266,"$2,142,342",Feb 1,https://pro.imdb.com/company/co0175150/boxoffice/?view=releases&ref_=mojo_yld_table_202&rf=mojo_yld_table_202,Shorts International,2013-02-01,2
/release/rl2923922945/?ref_=bo_yld_table_203,Blackfish,"$2,073,582",99,"$2,073,582",Jul 19,https://pro.imdb.com/company/co0134717/boxoffice/?view=releases&ref_=mojo_yld_table_203&rf=mojo_yld_table_203,Magnolia Pictures,2013-07-19,7
/release/rl172393985/?ref_=bo_yld_table_204,Blue Is the Warmest Colour,"$2,024,063",142,"$2,199,787",Oct 25,https://pro.imdb.com/company/co0015762/boxoffice/?view=releases&ref_=mojo_yld_table_204&rf=mojo_yld_table_204,IFC Films,2013-10-25,10
/release/rl742557185/?ref_=bo_yld_table_205,Anna Karenina,"$1,991,362",422,"$12,816,367",Nov 16,https://pro.imdb.com/company/co0042399/boxoffice/?view=releases&ref_=mojo_yld_table_205&rf=mojo_yld_table_205,Focus Features,2013-11-16,11
/release/rl1029408257/?ref_=bo_yld_table_206,The Iceman,"$1,969,193",258,"$1,969,193",May 3,https://pro.imdb.com/company/co0143550/boxoffice/?view=releases&ref_=mojo_yld_table_206&rf=mojo_yld_table_206,Millennium Entertainment,2013-05-03,5
/release/rl492406273/?ref_=bo_yld_table_207,Her,"$1,856,529","1,729","$25,568,251",Dec 18,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_207&rf=mojo_yld_table_207,Warner Bros.,2013-12-18,12
/release/rl1062372865/?ref_=bo_yld_table_208,Flight,"$1,793,824","2,638","$93,772,375",Nov 2,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_208&rf=mojo_yld_table_208,Paramount Pictures,2013-11-02,11
/release/rl1095992833/?ref_=bo_yld_table_209,Fill the Void,"$1,775,316",64,"$1,775,316",May 24,https://pro.imdb.com/company/co0014453/boxoffice/?view=releases&ref_=mojo_yld_table_209&rf=mojo_yld_table_209,Sony Pictures Classics,2013-05-24,5
